dimension,bucket,count,actual_eta_mean,baseline_mae,baseline_mape,model,mae,mape,bias,p50_abs_error,p90_abs_error,mae_improvement_vs_baseline
destination_h3,89414369647ffff,1196,1702.6120401337794,446.36036789297657,0.33954522815910304,residual,139.47989759034786,0.14673299081910834,-3.4717729607422565,112.91607284545898,302.7048645019531,306.88047030262874
destination_h3,89415ca640bffff,712,1701.4648876404494,460.1573033707865,0.329210434315974,residual,143.2887973319713,0.14852456913883397,-0.9018683904243027,119.73320007324219,295.10481262207026,316.8685060388152
destination_h3,89415ca7123ffff,670,3128.9880597014926,460.17164179104475,0.13936421555161088,residual,142.21086346832897,0.055861268758747654,11.229663808810622,114.26824188232422,293.2590911865235,317.9607783227158
destination_h3,89415cb4d47ffff,662,1466.454682779456,452.2870090634441,0.36510595154497155,residual,140.10699178867065,0.16569321737452652,12.596120018759613,107.5864565372467,313.05756530761715,312.18001727477343
destination_h3,89415cb4a47ffff,651,1622.874039938556,456.95238095238096,0.33182313002672137,residual,141.3033258835921,0.15122948379935153,-5.178069369017666,111.00772857666016,313.25750732421875,315.64905506878887
destination_h3,89415cb5db3ffff,645,1698.5364341085271,421.64806201550385,0.31727110227342376,residual,138.20732428648674,0.1427194117444545,-4.501573139660118,111.03389203548431,298.1052612304688,283.4407377290171
destination_h3,89415cb684bffff,639,2272.22848200313,452.4851330203443,0.2404578406710796,residual,136.234362045542,0.10004301132483867,0.33046032228625155,115.94116568565369,264.2130126953125,316.25077097480226
destination_h3,89415cb4bc3ffff,636,1331.2028301886792,428.52672955974845,0.4523602199417123,residual,137.88172323177363,0.22246762228093356,5.209630098624401,107.84824752807617,297.0859069824219,290.6450063279748
destination_h3,89415cb5dc7ffff,636,1807.8396226415093,428.501572327044,0.2719930448527934,residual,137.87811686606994,0.11659151486038748,-2.6313445517711296,114.45418667793274,281.8013000488281,290.62345546097407
destination_h3,894143682c3ffff,626,2522.364217252396,439.62460063897765,0.19693154211757732,residual,140.89745456019577,0.07832568907964309,11.086999620099704,116.53228759765625,292.7298278808594,298.72714607878186
destination_h3,89415cb4e43ffff,623,1738.0064205457463,466.54093097913324,0.31935408133634036,residual,146.15987039943425,0.14312374941341488,-4.58866847201249,119.90623474121094,303.70883789062503,320.381060579699
destination_h3,89415cb49afffff,619,1539.3974151857835,441.3957996768982,0.3844488774072147,residual,142.24354632597218,0.1726436251957153,-10.116329759034375,121.73326110839844,288.910144042969,299.152253350926
destination_h3,89415cb4193ffff,618,2045.6763754045307,434.9546925566343,0.25991606760727287,residual,135.24095648988887,0.11138042231906288,-5.477830066927332,107.03837513923645,290.90452270507825,299.71373606674547
destination_h3,89415cb687bffff,618,2152.1521035598707,433.4336569579288,0.24536941268264253,residual,141.85871359097703,0.11429269092314322,3.0090677856398345,115.69550323486328,298.8068420410157,291.57494336695174
destination_h3,89415cb4b97ffff,612,1317.1552287581699,419.468954248366,0.40154893922993906,residual,137.94588337207117,0.18688442870888516,1.8841878614644063,111.0952410697937,285.59307861328125,281.5230708762948
destination_h3,89414368657ffff,606,2526.8036303630365,454.1105610561056,0.21728685947501167,residual,142.65302199116684,0.08416974948011101,9.302356355568461,118.61495208740234,303.9383544921875,311.45753906493877
destination_h3,89414369617ffff,605,1640.5735537190083,453.35537190082647,0.36130543910037305,residual,140.5022245897981,0.1674471252745075,-2.184449346154189,113.12103271484375,309.7578430175782,312.85314731102835
